run_tag,scenario,experience,acc,f1
Naive,CI,0,0.9997,0.994
Naive,CI,1,0.2114,0.1168
Naive,CI,2,0.0121,0.0088
Naive,CI,3,0.0052,0.0014
Naive,CII,0,0.9995,0.9971
Naive,CII,1,0.9799,0.7348
Naive,CII,2,0.7299,0.4255
Naive,CII,3,0.7707,0.3538
EWC,CI,0,0.9997,0.994
EWC,CI,1,0.2114,0.125
EWC,CI,2,0.0157,0.0184
EWC,CI,3,0.0324,0.0353
EWC,CII,0,0.9995,0.9971
EWC,CII,1,0.9794,0.733
EWC,CII,2,0.73,0.4393
EWC,CII,3,0.7702,0.3486
LwF,CI,0,0.9997,0.994
LwF,CI,1,0.2114,0.1173
LwF,CI,2,0.0396,0.0551
LwF,CI,3,0.0699,0.1231
LwF,CII,0,0.9997,0.9984
LwF,CII,1,0.9802,0.7391
LwF,CII,2,0.8756,0.5813
LwF,CII,3,0.7827,0.5832
iCaRL,CI,0,0.9997,0.993
iCaRL,CI,1,0.9136,0.7367
iCaRL,CI,2,0.9206,0.6479
iCaRL,CI,3,0.877,0.5448
iCaRL,CII,0,0.9992,0.9956
iCaRL,CII,1,0.9234,0.7589
iCaRL,CII,2,0.9488,0.8322
iCaRL,CII,3,0.9469,0.7238
er_balanced_ci_m1,CI,0,0.9997,0.994
er_balanced_ci_m1,CI,1,0.9974,0.9665
er_balanced_ci_m1,CI,2,0.9954,0.9488
er_balanced_ci_m1,CI,3,0.9949,0.9352
er_balanced_ci_m5,CI,0,0.9997,0.994
er_balanced_ci_m5,CI,1,0.9991,0.9894
er_balanced_ci_m5,CI,2,0.9988,0.9867
er_balanced_ci_m5,CI,3,0.9987,0.9283
er_balanced_ci_m10,CI,0,0.9997,0.994
er_balanced_ci_m10,CI,1,0.9991,0.9891
er_balanced_ci_m10,CI,2,0.9993,0.9934
er_balanced_ci_m10,CI,3,0.9994,0.9953
er_strat_ci_m1,CI,0,0.9998,0.9961
er_strat_ci_m1,CI,1,0.9972,0.983
er_strat_ci_m1,CI,2,0.9959,0.952
er_strat_ci_m1,CI,3,0.9967,0.9468
er_strat_ci_m5,CI,0,0.9998,0.9961
er_strat_ci_m5,CI,1,0.9989,0.9861
er_strat_ci_m5,CI,2,0.9989,0.9884
er_strat_ci_m5,CI,3,0.9989,0.9893
er_strat_ci_m10,CI,0,0.9997,0.994
er_strat_ci_m10,CI,1,0.9991,0.9891
er_strat_ci_m10,CI,2,0.9993,0.9934
er_strat_ci_m10,CI,3,0.9994,0.9953
er_balanced_cii_m1,CII,0,0.9997,0.9983
er_balanced_cii_m1,CII,1,0.9971,0.9939
er_balanced_cii_m1,CII,2,0.9986,0.9952
er_balanced_cii_m1,CII,3,0.998,0.9643
er_balanced_cii_m5,CII,0,0.9997,0.9983
er_balanced_cii_m5,CII,1,0.9981,0.9936
er_balanced_cii_m5,CII,2,0.9986,0.996
er_balanced_cii_m5,CII,3,0.998,0.9866
er_balanced_cii_m10,CII,0,0.9997,0.9983
er_balanced_cii_m10,CII,1,0.9982,0.9942
er_balanced_cii_m10,CII,2,0.9987,0.9962
er_balanced_cii_m10,CII,3,0.9989,0.996
er_strat_cii_m1,CII,0,0.9997,0.9984
er_strat_cii_m1,CII,1,0.9968,0.9924
er_strat_cii_m1,CII,2,0.9967,0.976
er_strat_cii_m1,CII,3,0.9965,0.9721
er_strat_cii_m5,CII,0,0.9997,0.9984
er_strat_cii_m5,CII,1,0.9971,0.9861
er_strat_cii_m5,CII,2,0.9986,0.9963
er_strat_cii_m5,CII,3,0.9986,0.9947
er_strat_cii_m10,CII,0,0.9995,0.9971
er_strat_cii_m10,CII,1,0.9981,0.9943
er_strat_cii_m10,CII,2,0.9987,0.996
er_strat_cii_m10,CII,3,0.9983,0.9906
